"bin","tree_id","tree_in_bin","prop1","k","mean_mast","mean_coph","mean_preserved_cherries"
"05-10%",21,11,0.09375,2,29.9333333333333,0.678554243718849,0.933333333333333
"05-10%",21,11,0.09375,3,28.8666666666667,0.533227560559999,0.866666666666667
"05-10%",21,11,0.09375,4,27.8666666666667,0.480567302868083,0.866666666666667
"05-10%",21,11,0.09375,5,26.8666666666667,0.333557682640806,0.8
"05-10%",21,11,0.09375,6,25.6,0.330885174423331,0.6
"05-10%",21,11,0.09375,7,24.8,0.21096040254523,0.666666666666667
"05-10%",21,11,0.09375,8,23.6666666666667,0.195966154317203,0.6
"05-10%",21,11,0.09375,9,22.6,0.157739938645975,0.466666666666667
"05-10%",21,11,0.09375,10,21.6666666666667,0.0944140134746034,0.533333333333333
"05-10%",21,11,0.09375,11,20.6666666666667,0.0721895755653855,0.6
"05-10%",21,11,0.09375,12,19.5333333333333,0.0413326470015281,0.4
"05-10%",21,11,0.09375,13,19,0.0165889319525211,0.4
"05-10%",21,11,0.09375,14,17.9333333333333,-0.000964911089239423,0.133333333333333
"05-10%",21,11,0.09375,15,16.8666666666667,-0.00946113670497485,0.133333333333333
"05-10%",21,11,0.09375,16,17.2666666666667,-0.010762315913454,0.266666666666667
"05-10%",21,11,0.09375,17,17.4666666666667,-0.00578640037749051,0.466666666666667
"05-10%",21,11,0.09375,18,18.6666666666667,-0.00464734077627841,0.466666666666667
"05-10%",21,11,0.09375,19,18,0.0193346435550561,0.133333333333333
"05-10%",21,11,0.09375,20,19.4,0.0393987039815525,0.266666666666667
"05-10%",21,11,0.09375,21,20.8,0.0504688450393121,0.533333333333333
"05-10%",21,11,0.09375,22,22,0.116325335631453,0.8
"05-10%",21,11,0.09375,23,22.5333333333333,0.124933642637709,0.533333333333333
"05-10%",21,11,0.09375,24,23.8,0.185235343263873,0.8
"05-10%",21,11,0.09375,25,24.4666666666667,0.24100202314917,0.466666666666667
"05-10%",21,11,0.09375,26,25.5333333333333,0.273853852895615,0.533333333333333
"05-10%",21,11,0.09375,27,26.7333333333333,0.355564121509449,0.733333333333333
"05-10%",21,11,0.09375,28,27.7333333333333,0.46245207154861,0.8
"05-10%",21,11,0.09375,29,28.6666666666667,0.52544542216387,0.666666666666667
"05-10%",21,11,0.09375,30,29.8,0.678554243718849,0.933333333333333
"05-10%",21,11,0.09375,31,31,0.817299764263587,1.26666666666667
"05-10%",21,11,0.09375,32,32,1,2
"05-10%",22,12,0.09375,1,30.8666666666667,0.811384115228494,1.73333333333333
"05-10%",22,12,0.09375,2,29.8,0.660657208605914,1.46666666666667
"05-10%",22,12,0.09375,3,29,0.550666351180803,1.33333333333333
"05-10%",22,12,0.09375,4,27.8666666666667,0.423156321243341,1.06666666666667
"05-10%",22,12,0.09375,5,26.8,0.348537041109406,0.933333333333333
"05-10%",22,12,0.09375,6,25.8,0.317100680159963,0.866666666666667
"05-10%",22,12,0.09375,7,24.6666666666667,0.236899583233354,0.666666666666667
