"bin","k","rep","mast"
"10-20%",27,2,27
"10-20%",27,3,27
"10-20%",27,4,27
"10-20%",27,5,27
"10-20%",27,6,27
"10-20%",27,7,26
"10-20%",27,8,27
"10-20%",27,9,27
"10-20%",27,10,26
"10-20%",27,11,27
"10-20%",27,12,27
"10-20%",27,13,27
"10-20%",27,14,27
"10-20%",27,15,26
"10-20%",28,1,27
"10-20%",28,2,28
"10-20%",28,3,28
"10-20%",28,4,28
"10-20%",28,5,27
"10-20%",28,6,28
"10-20%",28,7,28
"10-20%",28,8,27
"10-20%",28,9,27
"10-20%",28,10,28
"10-20%",28,11,28
"10-20%",28,12,27
"10-20%",28,13,28
"10-20%",28,14,28
"10-20%",28,15,28
"10-20%",29,1,28
"10-20%",29,2,28
"10-20%",29,3,29
"10-20%",29,4,29
"10-20%",29,5,29
"10-20%",29,6,28
"10-20%",29,7,29
"10-20%",29,8,29
"10-20%",29,9,29
"10-20%",29,10,29
"10-20%",29,11,29
"10-20%",29,12,29
"10-20%",29,13,29
"10-20%",29,14,29
"10-20%",29,15,29
"10-20%",30,1,30
"10-20%",30,2,30
"10-20%",30,3,30
"10-20%",30,4,30
"10-20%",30,5,30
"10-20%",30,6,30
"10-20%",30,7,30
"10-20%",30,8,30
"10-20%",30,9,30
"10-20%",30,10,29
"10-20%",30,11,30
"10-20%",30,12,30
"10-20%",30,13,30
"10-20%",30,14,30
"10-20%",30,15,30
"10-20%",31,1,31
"10-20%",31,2,31
"10-20%",31,3,31
"10-20%",31,4,31
"10-20%",31,5,31
"10-20%",31,6,31
"10-20%",31,7,31
"10-20%",31,8,31
"10-20%",31,9,31
"10-20%",31,10,31
"10-20%",31,11,31
"10-20%",31,12,31
"10-20%",31,13,31
"10-20%",31,14,31
"10-20%",31,15,31
"10-20%",32,1,32
"10-20%",32,2,32
"10-20%",32,3,32
"10-20%",32,4,32
"10-20%",32,5,32
"10-20%",32,6,32
"10-20%",32,7,32
"10-20%",32,8,32
"10-20%",32,9,32
"10-20%",32,10,32
"10-20%",32,11,32
"10-20%",32,12,32
"10-20%",32,13,32
"10-20%",32,14,32
"10-20%",32,15,32
"20-30%",1,1,31
"20-30%",1,2,31
"20-30%",1,3,31
"20-30%",1,4,31
"20-30%",1,5,31
"20-30%",1,6,32
"20-30%",1,7,31
"20-30%",1,8,31
"20-30%",1,9,32
"20-30%",1,10,31
"20-30%",1,11,31
"20-30%",1,12,31
"20-30%",1,13,31
"20-30%",1,14,31
"20-30%",1,15,31
"20-30%",2,1,30
"20-30%",2,2,30
"20-30%",2,3,30
"20-30%",2,4,30
"20-30%",2,5,30
"20-30%",2,6,30
"20-30%",2,7,30
"20-30%",2,8,30
"20-30%",2,9,30
"20-30%",2,10,31
"20-30%",2,11,30
"20-30%",2,12,29
"20-30%",2,13,29
"20-30%",2,14,29
"20-30%",2,15,30
"20-30%",3,1,29
"20-30%",3,2,29
"20-30%",3,3,28
"20-30%",3,4,29
"20-30%",3,5,29
"20-30%",3,6,30
"20-30%",3,7,29
"20-30%",3,8,30
"20-30%",3,9,29
"20-30%",3,10,29
"20-30%",3,11,29
"20-30%",3,12,28
"20-30%",3,13,30
"20-30%",3,14,29
"20-30%",3,15,29
"20-30%",4,1,28
"20-30%",4,2,28
"20-30%",4,3,28
"20-30%",4,4,28
"20-30%",4,5,27
"20-30%",4,6,29
"20-30%",4,7,28
