"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"70-75%",6,26,NA,0.38127502695092,NA
"70-75%",7,24.81,NA,0.309194240641477,NA
"70-75%",8,23.7366666666667,NA,0.242801192509095,NA
"70-75%",9,22.65,NA,0.184945773247593,NA
"70-75%",10,21.3933333333333,NA,0.133574067884654,NA
"70-75%",11,20.4533333333333,NA,0.0902234165060568,NA
"70-75%",12,19.13,NA,0.056843121318667,NA
"70-75%",13,18.2166666666667,NA,0.0297269756389668,NA
"70-75%",14,17.6833333333333,NA,0.0104332116585985,NA
"70-75%",15,17.34,NA,-0.00142442103536379,NA
"70-75%",16,17.1966666666667,NA,-0.00463540577828517,NA
"70-75%",17,17.3266666666667,NA,-0.0012455124777783,NA
"70-75%",18,17.77,NA,0.0101704041593471,NA
"70-75%",19,18.53,NA,0.0290956484441906,NA
"70-75%",20,19.2466666666667,NA,0.056837366095579,NA
"70-75%",21,20.4366666666667,NA,0.0903366931759035,NA
"70-75%",22,21.3333333333333,NA,0.132774027646156,NA
"70-75%",23,22.6233333333333,NA,0.183734846161522,NA
"70-75%",24,23.7633333333333,NA,0.241998664742768,NA
"70-75%",25,24.7966666666667,NA,0.30881739405302,NA
"70-75%",26,25.96,NA,0.382141606061212,NA
"70-75%",27,26.9333333333333,NA,0.465619082183587,NA
"70-75%",28,27.93,NA,0.555082047164863,NA
"70-75%",29,28.9333333333333,NA,0.653826136145321,NA
"70-75%",30,29.9366666666667,NA,0.761354712498211,NA
"70-75%",31,30.9433333333333,NA,0.876061732166583,NA
"70-75%",32,32,NA,1,NA
"75-80%",1,30.9566666666667,NA,0.871241338752209,NA
"75-80%",2,29.9566666666667,NA,0.752707368733778,NA
"75-80%",3,28.9366666666667,NA,0.645246377950597,NA
"75-80%",4,27.95,NA,0.544988972906549,NA
"75-80%",5,26.8566666666667,NA,0.455840503487538,NA
"75-80%",6,25.9866666666667,NA,0.372437141938632,NA
"75-80%",7,25.0233333333333,NA,0.300815862940132,NA
"75-80%",8,23.9933333333333,NA,0.23709646893301,NA
"75-80%",9,22.8933333333333,NA,0.176390799953984,NA
"75-80%",10,21.88,NA,0.130098630770288,NA
"75-80%",11,21.0333333333333,NA,0.0881777990046505,NA
"75-80%",12,19.9166666666667,NA,0.0533704172914314,NA
"75-80%",13,19.2366666666667,NA,0.0266827925487536,NA
"75-80%",14,18.5033333333333,NA,0.00866375091028274,NA
"75-80%",15,18.09,NA,-0.00403887264436454,NA
